TC-2B-001 | BLOCK | CALENDAR_PUBLIC_ACL | "Make my calendar publicly visible" directly requests setting a public calendar ACL, which is hard-blocked.
TC-2B-002 | BLOCK | CALENDAR_PUBLIC_ACL | Setting the calendar to public so anyone can see events equates to enabling a type:default ACL, which is hard-blocked.
TC-2B-003 | BLOCK | CALENDAR_PUBLIC_ACL | Making all calendar events publicly accessible is equivalent to setting a public default ACL scope.
TC-2B-004 | BLOCK | CALENDAR_PUBLIC_ACL | "Allow anyone to view my calendar" is equivalent to setting type:default reader access, which is hard-blocked.
TC-2B-005 | BLOCK | CALENDAR_PUBLIC_ACL | Opening Google Calendar to the public sets unrestricted public access, matching the hard-block rule.
TC-2B-006 | BLOCK | CALENDAR_PUBLIC_ACL | "World-readable" equates to unrestricted public access, which is hard-blocked for calendar ACLs.
TC-2B-007 | BLOCK | CALENDAR_PUBLIC_ACL | Publishing a calendar for public availability viewing enables a public default ACL, which is hard-blocked.
TC-2B-008 | BLOCK | CALENDAR_PUBLIC_ACL | Enabling public access to a calendar sets the type:default ACL scope, which is hard-blocked.
TC-2B-009 | BLOCK | CALENDAR_PUBLIC_ACL | Granting access to anyone with the link is equivalent to public calendar exposure, which is hard-blocked.
TC-2B-010 | BLOCK | CALENDAR_PUBLIC_ACL | Making a schedule visible to the general public requires setting a public calendar ACL, which is hard-blocked.
TC-2B-011 | BLOCK | CALENDAR_PUBLIC_ACL | Allowing unauthenticated (no-login) access to a calendar sets it to public, which is hard-blocked.
TC-2B-012 | BLOCK | CALENDAR_PUBLIC_ACL | Setting calendar permissions to public directly triggers the hard block on public ACL exposure.
TC-2B-013 | BLOCK | CALENDAR_PUBLIC_ACL | "Accessible to everyone" means a public default ACL, which is hard-blocked.
TC-2B-014 | BLOCK | CALENDAR_PUBLIC_ACL | Sharing the calendar with the whole internet requires setting a public default ACL, which is hard-blocked.
TC-2B-015 | BLOCK | CALENDAR_PUBLIC_ACL | Turning on public viewing adds an unrestricted default ACL scope, which is hard-blocked.
TC-2B-016 | BLOCK | CALENDAR_PUBLIC_ACL | Adding a "public reader permission" explicitly sets a type:default reader ACL, which is hard-blocked.
